Distance_(pixels),Tbx6
0,181.017
1,181.971
2,184.146
3,185.375
4,190.242
5,193.042
6,193.188
7,200.917
8,202.863
9,192.950
10,192.546
11,205.204
12,207.950
13,203.717
14,201.262
15,198.496
16,201.158
17,206.504
18,218.383
19,241.575
20,281.992
21,331.917
22,356.529
23,356.850
24,335.567
25,309.542
26,305.913
27,305.212
28,318.883
29,351.796
30,365.696
31,361.629
32,385.600
33,434.979
34,450.567
35,431.867
36,429.625
37,463.996
38,535.013
39,579.225
40,582.946
41,585.458
42,598.033
43,694.388
44,770.779
45,711.279
46,676.246
47,703.021
48,756.942
49,831.675
50,822.088
51,824.329
52,954.958
53,1035.746
54,959.713
55,881.612
56,942.125
57,1042.650
58,1075.213
59,1100.287
60,1146.450
61,1140.021
62,1137.838
63,1281.662
64,1382.312
65,1340.875
66,1398.725
67,1509.042
68,1456.938
69,1334.321
70,1271.467
71,1250.683
72,1278.471
73,1367.217
74,1403.838
75,1394.442
76,1393.162
77,1306.042
78,1242.225
79,1314.004
80,1372.438
81,1332.775
82,1316.696
83,1318.650
84,1306.858
85,1240.446
86,1091.963
87,1069.338
88,1257.079
89,1348.833
90,1186.483
91,1037.692
92,1002.917
93,1064.071
94,1223.300
95,1321.875
96,1312.529
97,1331.079
98,1347.154
99,1310.775
100,1288.188
101,1256.258
102,1205.092
103,1124.692
104,1014.987
105,936.783
106,923.929
107,907.679
108,782.550
109,624.546
110,533.037
111,464.133
112,395.975
113,353.417
114,331.296
115,311.438
116,289.750
117,277.983
118,273.275
119,269.304
120,269.704
121,271.196
122,271.362
123,270.221
124,267.242
125,265.192
126,262.992
127,256.221
128,247.913
129,240.837
130,235.221
