Distance_(pixels),Tbx6
0,197.850
1,191.276
2,183.956
3,178.480
4,180.476
5,182.824
6,191.945
7,192.688
8,187.105
9,183.960
10,182.666
11,186.891
12,201.735
13,207.997
14,211.701
15,254.674
16,307.278
17,307.285
18,251.854
19,219.465
20,225.259
21,235.859
22,244.923
23,264.940
24,305.160
25,342.024
26,330.430
27,343.933
28,345.325
29,319.324
30,313.589
31,349.192
32,399.260
33,466.969
34,479.635
35,477.675
36,493.447
37,514.859
38,524.971
39,536.990
40,570.557
41,596.011
42,616.765
43,623.157
44,612.146
45,658.643
46,799.121
47,895.410
48,874.155
49,865.580
50,873.921
51,835.886
52,880.297
53,896.852
54,864.971
55,941.646
56,1076.656
57,1065.221
58,976.713
59,1068.495
60,1309.958
61,1386.988
62,1319.546
63,1258.196
64,1296.103
65,1385.204
66,1405.214
67,1413.081
68,1444.500
69,1526.862
70,1549.007
71,1536.883
72,1667.652
73,1698.870
74,1625.588
75,1618.536
76,1769.302
77,1722.265
78,1533.500
79,1411.220
80,1501.925
81,1686.778
82,1630.457
83,1487.520
84,1348.999
85,1347.258
86,1438.714
87,1423.503
88,1384.733
89,1405.276
90,1395.160
91,1414.448
92,1295.218
93,1214.419
94,1128.698
95,969.563
96,826.708
97,733.675
98,644.243
99,575.688
100,520.832
101,460.219
102,392.438
103,356.729
104,337.796
105,335.811
106,337.119
107,324.894
108,303.316
109,308.317
110,325.381
111,325.358
112,329.619
113,339.870
114,363.408
115,392.545
116,388.077
117,411.791
118,434.430
119,410.387
120,343.161
121,303.004
122,270.436
123,252.726
124,246.673
125,243.758
126,238.768
127,237.939
128,234.917
129,232.551
130,226.265
