"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","1","2","3","0"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","","","",""
"0","0","","1","226.82220931745687","1247.6977850219087","153","225.23886895969613","24.727410481347377","146.0","239.0","225.0","1067407.0","1176.1069845959064","155.95338998491155","812.0","1305.0","1131.0","5573571.0","672.0838562301827","543.700493657334","595.391633345632","221.8421052631579","1129.3157894736842","6.830134553650706","0","155","1","0","0","0","1","0"
"1","1","","2","230.95858500472318","1219.869281141522","152","229.96821277975997","24.974808945538562","140.0","219.0","229.0","1417984.0","1161.8955562763542","145.7316762060896","765.0","1358.0","1130.0","7164248.0","675.5780176641279","543.1839009552885","594.6154457031466","228.24","1117.52","7.513148009015776","0","155","1","0","0","0","1","0"
"2","2","","2","233.9818099119533","1278.929530335036","151","233.7585816062176","25.210784419380253","151.0","255.0","233.0","1443693.0","1213.2788212435232","171.21645550235095","794.0","1491.0","1175.0","7493210.0","675.5780176641279","543.1839009552885","594.6154457031466","234.33333333333334","1175.875","7.513148009015776","0","155","1","0","0","0","1","0"
"3","3","","2","237.78968516114298","1268.7162831474357","150","238.03960237293572","28.703325384066172","151.0","324.0","236.0","1484653.0","1218.5565175565175","157.66427606166522","789.0","1680.0","1194.0","7600137.0","674.1921280335026","541.3009989046469","594.2243793304343","235.47826086956522","1174.4347826086957","7.513148009015776","0","155","1","0","0","0","1","0"
"4","4","","2","239.02596072906155","1274.1231437821434","149","239.24560843181092","27.55616081313355","148.0","173.0","238.0","1498156.0","1230.3153944426701","153.18369438526804","801.0","840.0","1213.0","7704235.0","674.0702722032097","541.6591315443249","594.4542566944617","236.30769230769232","1188.6538461538462","7.513148009015776","0","155","1","0","0","0","1","0"
"5","5","","2","245.02135403927295","1313.4393384155348","148","244.982374619452","30.248431992652556","141.0","173.0","243.0","1528935.0","1270.2188751802596","156.96295956601276","845.0","840.0","1253.0","7927436.0","674.1211514937851","541.3582193357032","594.5238185894086","239.66666666666666","1222.1851851851852","7.513148009015776","0","155","1","0","0","0","1","0"
"6","6","","2","252.96738572115245","1410.3380821382966","147","251.26162652039113","30.673133601413017","163.0","299.0","249.0","1053540.0","1327.1896017171475","188.44550679990013","870.0","1757.0","1302.0","5564906.0","674.7626818335519","540.1207267778265","594.1087265331215","244.0","1214.7","6.512277776419589","0","155","1","0","0","0","1","0"
"7","7","","2","255.93460132122826","1460.2463182402332","146","253.25351429956373","29.869781320450766","161.0","312.0","252.0","1044924.0","1377.358700920989","223.2354686289179","916.0","1817.0","1343.0","5682982.0","674.8537556224117","540.3071981243355","593.440286120226","244.22222222222223","1290.0","6.512277776419589","0","155","1","0","0","0","1","0"
