"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","1","2","0","3"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","","","",""
"0","0","","2","188.25971841484665","365.2807400157626","114","187.30539174389216","20.985962294687177","121.0","161.0","186.0","889326.0","354.660699241786","42.120775885696645","224.0","327.0","354.0","1683929.0","450.30593097307604","726.499640713942","449.00738373841324","183.35","343.1","6.830134553650706","0","83","1","0","0","1","0","0"
"1","1","","2","188.23829097428504","361.34923034497115","113","186.9372376154492","20.68433575313446","112.0","389.0","186.0","890569.0","352.722712006717","40.94909787719236","227.0","514.0","351.0","1680371.0","451.87622187976854","725.6268611731931","448.5280672576568","184.6","342.3","6.830134553650706","0","83","1","0","0","1","0","0"
"2","2","","2","184.3916178450935","340.256993526267","112","183.33418776033324","21.333365028529","111.0","175.0","183.0","1144372.0","334.5376481896828","40.04579107195885","205.0","365.0","334.0","2088184.0","451.73322023988123","729.0350906146444","442.7962459078501","178.91304347826087","327.0869565217391","7.513148009015774","9","82","1","0","0","1","0","0"
"3","3","","2","185.7296549046059","340.57899044893435","111","184.734804862444","20.463733939064856","122.0","178.0","184.0","1154962.0","334.1753039027511","39.194137697350115","214.0","370.0","333.0","2089264.0","449.1148816176347","728.3805059590827","442.7962459078501","182.28571428571428","328.85714285714283","7.513148009015774","9","82","1","0","0","1","0","0"
"4","4","","2","188.91301448851053","348.3682219528502","110","187.74157303370785","20.59433939977037","121.0","209.0","187.0","1169630.0","342.21845906902087","39.74495200674918","220.0","393.0","341.0","2132021.0","446.9329327657626","727.0713366479595","436.09755843103824","184.95238095238096","340.0952380952381","7.513148009015774","9","82","1","0","0","1","0","0"
"5","5","","3","188.83683842126794","350.93083881912816","109","188.6572273879966","20.325909580797106","122.0","184.0","188.0","1339089.0","340.07072414764724","43.75930182961299","206.0","340.0","337.0","2413822.0","446.27834811020097","723.5636040652893","433.86466260543426","187.14285714285714","335.64285714285717","7.879856109467702","9","82","1","0","0","1","0","0"
"6","6","","1","185.05332177957243","352.51332771859063","110","184.53401887589803","20.98743916649156","117.0","182.0","184.0","1310007.0","344.76109311170586","41.28636500665838","189.0","340.0","343.0","2447459.0","447.15112765094983","719.4167975320248","430.99379654394346","184.0","338.7307692307692","7.879856109467702","9","82","1","0","0","1","0","0"
"7","7","","2","190.3152733039685","356.41935694117814","108","189.765390070922","21.23115841293877","123.0","182.0","188.0","1337846.0","346.3218439716312","43.51106804505495","209.0","335.0","345.0","2441569.0","446.27834811020097","723.7651845308017","431.31278166188685","188.16666666666666","339.625","7.879856109467702","9","82","1","0","0","1","0","0"
"8","8","","2","189.40670284203887","351.109073654397","107","188.52106017191977","20.504868224028094","111.0","202.0","188.0","1315877.0","342.7684813753582","41.40608237360909","204.0","404.0","341.0","2392524.0","443.40748204871016","723.7651845308017","431.6317667798303","187.64285714285714","335.57142857142856","7.879856109467702","9","82","1","0","0","1","0","0"
"9","9","","2","188.1413696786805","350.0450549920448","106","187.03946239633973","20.51683521985464","126.0","183.0","186.0","1308154.0","342.235916499857","42.31474329402648","204.0","330.0","340.0","2393598.0","440.0337685381458","723.3287947604272","431.6317667798303","185.5185185185185","338.74074074074076","7.879856109467702","9","82","1","0","0","1","0","0"
"10","10","","2","189.48132806188363","352.93284963835816","105","188.18977176669483","20.08681796811783","110.0","182.0","187.0","1335771.0","342.40208509439276","43.582964228112395","216.0","330.0","339.0","2430370.0","434.91339223137624","724.8561589567377","430.99379654394346","186.92307692307693","338.65384615384613","7.879856109467702","9","82","1","0","0","1","0","0"
"11","11","","2","192.98843322664356","366.15911936424715","104","191.31078066914498","20.928646626641367","121.0","465.0","190.0","1029252.0","352.37695167286245","46.60067481382855","210.0","525.0","349.0","1895788.0","434.3424004375505","727.0715050688252","428.4419156003961","186.1818181818182","338.90909090909093","7.163505554061548","9","82","1","0","0","1","0","0"
"12","12","","2","190.4847988661255","370.83950074078905","103","189.29059985369423","21.38488239288377","123.0","188.0","188.0","1035041.0","359.0914411119239","46.51175926225165","207.0","366.0","356.0","1963512.0","432.9822219647119","728.4474689003792","427.8039453645092","183.95454545454547","346.04545454545456","7.163505554061548","9","82","1","0","0","1","0","0"
"13","13","","2","191.8661603758797","371.0061285898329","102","190.32801547014745","20.60205926571796","129.0","232.0","189.0","787387.0","356.4189025864153","44.901673798615214","226.0","396.0","355.0","1474505.0","431.1530700214784","728.8718915335915","427.4001477354991","186.85","343.9","6.512277776419589","9","82","1","0","0","1","0","0"
"14","14","","2","196.8168162161878","367.8495853263127","101","194.19217814371257","21.445854906967295","126.0","306.0","193.0","1037763.0","352.54678143712573","47.99436204458576","197.0","422.0","350.0","1884010.0","429.02213033132165","728.5654387727824","426.2052117489733","187.65217391304347","338.1304347826087","7.163505554061549","9","82","1","0","0","1","0","0"
