Distance_(pixels),Gray_Value
0,190.116
1,190.751
2,188.785
3,189.136
4,189.683
5,190.632
6,187.928
7,184.781
8,185.271
9,184.409
10,186.232
11,191.737
12,195.117
13,197.687
14,204.611
15,217.333
16,231.870
17,249.105
18,250.724
19,237.073
20,232.054
21,239.724
22,258.893
23,285.934
24,284.693
25,272.364
26,287.090
27,317.693
28,338.882
29,331.586
30,323.021
31,320.235
32,341.742
33,401.497
34,428.811
35,421.623
36,406.773
37,419.639
38,439.586
39,446.931
40,455.061
41,477.277
42,498.185
43,500.892
44,537.396
45,571.580
46,549.802
47,511.739
48,528.113
49,567.436
50,606.356
51,696.772
52,824.676
53,860.797
54,804.604
55,839.108
56,897.768
57,853.571
58,776.297
59,749.755
60,794.960
61,856.265
62,824.887
63,797.080
64,835.270
65,895.807
66,891.046
67,859.561
68,880.832
69,975.537
70,1039.442
71,1034.475
72,1040.790
73,1080.169
74,1023.772
75,951.120
76,909.042
77,874.117
78,863.741
79,904.968
80,933.649
81,859.949
82,856.864
83,866.352
84,868.852
85,893.575
86,869.792
87,782.536
88,701.768
89,703.384
90,709.947
91,698.383
92,647.772
93,581.768
94,491.379
95,434.097
96,396.843
97,366.154
98,337.980
99,325.193
100,323.571
101,334.870
102,343.835
103,341.932
104,354.183
105,358.348
106,350.754
107,341.800
108,324.161
109,312.193
110,335.483
111,388.403
112,402.594
113,369.538
114,333.997
115,317.859
116,311.536
117,294.397
118,275.657
119,274.143
120,273.422
121,261.854
122,251.968
123,254.262
124,250.355
125,234.410
126,219.494
127,210.481
128,208.113
129,204.245
130,201.115
