Distance_(pixels),Gray_Value
0,194.420
1,196.025
2,196.210
3,201.208
4,202.373
5,205.100
6,213.507
7,218.120
8,216.477
9,217.133
10,220.975
11,226.871
12,245.137
13,279.880
14,301.354
15,318.472
16,334.280
17,351.571
18,366.493
19,397.397
20,446.152
21,453.834
22,422.159
23,402.473
24,440.055
25,495.260
26,512.474
27,514.161
28,547.890
29,630.617
30,693.787
31,625.651
32,518.239
33,524.329
34,612.227
35,679.936
36,708.949
37,766.722
38,787.137
39,714.444
40,722.456
41,771.842
42,815.658
43,896.560
44,920.397
45,876.654
46,870.791
47,918.216
48,997.037
49,988.410
50,974.349
51,1076.168
52,1209.729
53,1205.241
54,1070.459
55,1051.324
56,1074.076
57,1070.557
58,1027.657
59,973.950
60,911.647
61,977.206
62,1000.011
63,938.058
64,903.362
65,897.265
66,891.270
67,848.684
68,760.555
69,714.099
70,706.830
71,706.219
72,677.009
73,647.686
74,660.500
75,717.339
76,748.388
77,712.785
78,632.087
79,651.150
80,643.419
81,591.302
82,563.462
83,567.612
84,565.472
85,535.692
86,500.020
87,508.757
88,576.499
89,629.612
90,637.478
91,570.824
92,512.943
93,476.408
94,497.443
95,563.686
96,607.930
97,576.130
98,505.200
99,438.442
100,421.773
101,432.062
102,427.113
103,430.746
104,401.956
105,347.088
106,305.405
107,293.371
108,283.316
109,268.349
110,253.619
111,239.624
112,232.628
113,228.288
114,227.707
115,222.754
116,216.549
117,211.604
118,207.987
119,207.584
120,205.928
121,205.335
122,209.329
123,212.491
124,210.560
125,205.827
126,200.177
127,196.757
128,195.084
129,195.413
130,194.041
