"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","16","17"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","",""
"11","11","","2","168.00750463668177","5759.192615441593","119","167.87458471760797","17.112703090374637","117.0","182.0","167.0","202121.0","5556.835548172758","776.5480982055876","3542.0","6625.0","5561.0","6690430.0","306.09491006236794","594.6147390915955","133.2432112138577","168.83333333333334","5410.333333333333","3.676011030057441","0","132","0","1","1","0"
"12","12","","2","170.5129650111437","6250.2974134579","118","169.6611706512778","17.219648314277173","109.0","178.0","169.0","205799.0","6008.327287716405","1030.4968558210535","3969.0","5299.0","5824.0","7288101.0","307.46872843627665","594.2577583461381","131.4359885955933","170.25","5023.5","3.676011030057441","0","132","0","1","1","0"
"13","13","","2","175.76570970356565","6438.523767332385","117","174.35855263157896","18.01640018881361","118.0","180.0","174.0","212020.0","6154.504934210527","833.7616430022961","4366.0","5287.0","6102.0","7483878.0","308.9617834994891","594.8411595678109","130.39123917109757","171.4","5527.4","3.676011030057441","0","132","0","1","1","0"
"14","14","","2","176.7600650879786","6014.525093980775","116","175.22607260726073","17.899712735808105","105.0","179.0","175.0","212374.0","5782.042079207921","713.9073967559265","4007.0","5504.0","5744.0","7007835.0","308.69253031195666","595.2732368371394","130.17128297843453","170.0","5315.666666666667","3.676011030057441","0","132","0","1","1","0"
"15","15","","2","173.35033052819998","6307.514935959879","115","172.7902960526316","17.85993805245089","117.0","183.0","173.0","210113.0","6044.535361842105","718.5103018694608","4101.0","5590.0","6077.0","7350155.0","308.03935800058014","594.5808337485928","129.85085360012408","170.6","5352.6","3.676011030057441","0","132","0","1","1","0"
"16","16","","2","172.86051130524535","5907.665054414856","114","172.4775","16.91674635795694","118.0","187.0","172.0","206973.0","5658.554166666667","688.3131672764774","4168.0","5644.0","5630.0","6790265.0","308.03935800058014","594.5808337485928","129.85085360012408","170.75","5007.75","3.676011030057441","0","132","0","1","1","0"
"17","17","","2","178.06034810294108","6230.981252640945","113","176.55993294216262","17.88619797072165","113.0","186.0","175.0","210636.0","5924.093042749371","723.1896772554244","4277.0","6477.0","5865.0","7067443.0","308.12530970861985","593.5496591321838","128.81157659940757","173.0","5064.0","3.676011030057441","0","132","0","1","1","0"
"18","18","","2","177.03888973156725","5722.722124517986","112","176.13333333333333","17.871390588678164","121.0","195.0","175.0","216644.0","5496.960975609756","725.2373097918371","3751.0","7363.0","5469.0","6761262.0","309.0101149368113","594.8368430414757","129.69241515802193","172.0","4793.6","3.676011030057441","0","132","0","1","1","0"
"19","19","","2","174.97608243152277","5364.567711276445","111","173.88997555012224","17.97347480748209","119.0","187.0","174.0","213363.0","5117.430317848411","703.0587278963754","3218.0","7127.0","5137.0","6279087.0","308.9140200544568","594.3691104901585","129.3523946481682","170.16666666666666","4313.5","3.676011030057441","0","132","0","1","1","0"
"20","20","","2","176.78128384835247","5578.654463212511","110","175.40513670256834","18.433801784202686","130.0","189.0","175.0","211714.0","5183.944490472245","916.9100334023769","2799.0","5227.0","5208.0","6257021.0","309.08778886092426","594.446754215304","128.83102435565453","170.6","4357.4","3.676011030057441","0","132","0","1","1","0"
