Distance_(pixels),ripply1,Tbx6
0,434.731,590.802
1,433.301,577.042
2,426.792,569.515
3,432.981,569.023
4,425.534,580.597
5,431.347,587.258
6,437.813,602.711
7,435.675,603.742
8,435.022,589.857
9,431.679,586.387
10,433.884,591.235
11,433.519,583.662
12,424.623,579.775
13,431.660,590.582
14,430.370,594.545
15,433.404,597.051
16,428.991,613.924
17,441.267,613.903
18,430.829,632.855
19,428.470,651.106
20,422.971,652.313
21,425.507,640.359
22,433.718,633.830
23,431.969,641.507
24,430.643,655.181
25,433.061,659.554
26,439.409,656.543
27,430.625,647.577
28,426.658,668.499
29,435.986,649.015
30,440.543,652.991
31,439.765,635.667
32,441.188,638.870
33,439.885,644.090
34,448.771,653.191
35,446.011,681.225
36,449.830,696.145
37,448.635,702.493
38,453.577,678.356
39,441.489,692.815
40,432.023,689.968
41,442.529,700.545
42,445.323,720.163
43,451.339,756.209
44,448.534,778.989
45,440.418,770.982
46,439.787,763.297
47,433.437,801.568
48,442.490,816.386
49,441.970,832.773
50,445.722,820.974
51,448.471,792.586
52,446.058,817.747
53,456.642,807.855
54,448.780,810.151
55,446.746,800.862
56,447.836,872.451
57,469.313,904.142
58,506.525,879.408
59,521.277,837.223
60,533.107,845.594
61,516.652,852.324
62,472.944,861.923
63,535.679,882.657
64,530.944,919.927
65,500.675,958.999
66,481.177,991.551
67,469.261,1049.521
68,466.714,1074.414
69,471.330,1047.564
70,473.597,981.749
71,468.896,968.892
72,478.632,970.541
73,474.683,928.358
74,482.856,899.916
75,481.467,1011.158
76,477.656,1127.446
77,480.667,1165.728
78,469.914,1125.185
79,471.810,1077.309
80,463.125,1108.207
81,456.599,1131.340
82,468.421,1117.854
83,445.645,1134.294
84,441.356,1161.529
85,439.338,1187.769
86,428.715,1195.814
87,426.332,1159.866
88,426.793,1196.460
89,428.462,1234.394
90,420.735,1223.030
91,417.721,1162.057
92,409.726,1210.772
93,414.603,1269.305
94,409.530,1293.187
95,409.314,1313.603
96,424.255,1256.690
97,412.661,1292.589
98,416.080,1319.972
99,412.185,1234.450
100,418.148,1214.783
101,415.904,1305.141
102,424.027,1366.884
103,426.405,1380.207
104,427.477,1342.364
105,439.918,1310.571
106,431.802,1320.263
107,434.585,1390.019
108,430.754,1444.265
109,442.926,1436.621
110,454.969,1481.191
111,435.945,1461.168
112,426.496,1515.557
113,425.467,1540.546
114,428.523,1519.962
115,429.986,1600.591
116,428.669,1580.579
117,431.787,1530.251
118,444.822,1590.759
119,442.216,1614.360
120,439.762,1611.623
121,442.851,1725.555
122,436.320,1700.445
123,425.263,1577.693
124,433.008,1483.510
125,422.132,1415.071
126,432.072,1403.019
127,425.083,1445.796
128,426.082,1526.399
129,422.787,1623.020
130,429.856,1714.047
131,426.660,1711.989
132,437.034,1649.482
133,433.519,1608.940
134,426.145,1650.828
135,426.700,1628.635
136,417.469,1619.555
137,433.906,1680.354
138,428.802,1650.249
139,436.224,1660.703
140,440.785,1785.981
141,445.847,1831.463
142,440.007,1650.441
143,439.814,1623.795
144,441.459,1671.655
145,428.956,1720.918
146,430.373,1619.940
147,433.213,1606.558
148,427.975,1667.472
149,430.862,1667.637
150,422.696,1495.685
151,435.578,1425.592
152,434.495,1452.180
153,448.242,1520.698
154,454.145,1516.779
155,461.242,1426.974
156,460.899,1400.440
157,452.054,1425.012
158,455.476,1322.322
159,455.375,1211.280
160,458.201,1180.402
161,470.955,1172.247
162,475.521,1151.215
163,497.029,1125.335
164,524.209,1146.710
165,558.041,1161.831
166,607.141,1146.927
167,666.313,1125.010
168,724.108,1121.964
169,822.187,1078.804
170,909.527,1117.307
171,1002.663,1110.925
172,1124.874,1078.288
173,1279.377,1029.098
174,1471.159,1032.003
175,1717.574,1058.460
176,1746.308,1089.331
177,1819.678,1094.300
178,1884.127,1077.785
179,1850.589,1104.312
180,1911.804,1130.820
181,1971.573,1175.365
182,2064.448,1222.686
183,2063.830,1224.551
184,2013.416,1205.281
185,1977.686,1205.808
186,1912.423,1236.856
187,1856.239,1232.071
188,1859.780,1271.546
189,1841.150,1314.820
190,1809.785,1317.365
191,1831.263,1340.630
192,1824.707,1426.876
193,1786.839,1513.894
194,1739.339,1581.500
195,1730.797,1479.667
196,1679.479,1328.781
197,1683.841,1217.766
198,1684.162,1166.084
199,1650.241,1098.318
200,1698.366,1057.774
201,1699.106,1045.371
202,1735.516,1025.354
203,1752.673,978.755
204,1775.997,989.198
205,1798.078,982.065
206,1743.745,960.403
207,1698.820,913.171
208,1723.956,876.441
209,1798.871,859.533
210,1806.523,854.993
211,1759.284,839.500
212,1714.773,826.684
213,1680.498,790.026
214,1701.124,777.040
215,1690.891,774.682
216,1732.563,752.777
217,1712.924,762.248
218,1644.953,766.689
219,1625.690,747.992
220,1549.286,728.800
221,1488.681,727.956
222,1453.889,712.522
223,1457.247,714.969
224,1504.329,708.498
225,1579.938,710.057
226,1561.633,722.824
227,1538.330,720.737
228,1551.772,720.025
229,1491.795,709.884
230,1551.325,705.516
231,1537.997,697.816
232,1492.314,681.947
233,1517.874,681.057
234,1532.279,675.345
235,1554.385,679.576
236,1580.543,692.401
237,1666.139,686.944
238,1658.008,682.249
239,1625.804,672.358
240,1540.338,667.684
